Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
enteka  ZMM.B,,200,0.76,169.8,0.72,63%,113.4,0.59,0.23,0.08,0.15,20%,5%,1/20,26,117,163,46,15,30
melJ  VX,(+4),751,0.76,179.2,0.75,64%,116.9,0.61,0.28,0.06,0.12,21%,12%,9/74,30,458,614,212,45,90
ciao  CLG,(+7),589,0.76,173.5,0.73,63%,117.0,0.59,0.24,0.08,0.11,23%,11%,11/96,26,349,476,140,47,64
dash  TNX,(+3),465,0.76,167.0,0.68,63%,110.3,0.55,0.31,0.04,0.1,27%,11%,9/80,21,256,375,145,18,46
Envys  AF,(+1),570,0.76,173.8,0.79,63%,113.5,0.6,0.22,0.04,0.1,28%,16%,13/80,23,342,433,124,24,57
cky  Brim,(+3),383,0.76,166.8,0.76,65%,106.7,0.6,0.24,0.08,0.13,28%,18%,7/39,23,230,301,91,31,49
elvis  IluZ,(+2),803,0.76,174.3,0.77,60%,115.2,0.64,0.12,0.14,0.2,23%,9%,7/77,21,512,666,98,114,161
yngty  TAMU,,318,0.75,141.1,0.68,62%,97.2,0.49,0.29,0.03,0.07,27%,4%,2/46,20,155,229,93,8,22
Kal,,245,0.75,193.9,0.8,58%,130.4,0.68,0.1,0.1,0.13,28%,4%,2/50,20,166,207,25,24,32
kipp  spon,(+3),523,0.75,162.4,0.72,61%,109.0,0.58,0.19,0.06,0.07,23%,6%,6/93,20,301,416,98,30,37
Vroom  TNX,(+3),238,0.75,180.8,0.72,65%,119.3,0.62,0.22,0.11,0.09,24%,10%,5/49,20,147,204,52,27,21
syncer  303,(+3),720,0.75,178.2,0.83,61%,120.4,0.62,0.19,0.06,0.08,23%,8%,12/142,34,449,540,139,46,57
Nora  Clic,(+4),219,0.75,164.8,0.68,64%,110.5,0.54,0.28,0.09,0.08,33%,,0/22,22,119,174,62,19,18
